Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Djibouti,DJI,Total fisheries production (metric tons),ER.FSH.PROD.MT,900,800,900,1000,300,300,300,300,300,300,300,300,100,200,380,300,230,230,230,231,251,385,426,409,409,380,409,426,454,399,360,252,275,300,320,350,400,500,600,700,800,900,1000,1100,1200,1571,1299,1229,1206,1058,1590,1667,2167,1702,2298,2012,2220,2022,2102,2270.14,2322.5,,
Dominica,DMA,Total fisheries production (metric tons),ER.FSH.PROD.MT,500,500,600,600,600,500,500,500,600,600,500,600,700,800,900,1001,1024,1047,1070,642,1445,1514,1545,800,700,640,644,500,500,500,458,552,717,797,885,954,1034,1084,1217,1205,1207,1212,1211,963,718,598,718,701,723,796,711,668,631,533,1035,996,815,784,762,860.4,854.1,,
Denmark,DNK,Total fisheries production (metric tons),ER.FSH.PROD.MT,574647,637492,785102,847904,871061,840830,850802,1070415,1466808,1275401,1226500,1400901,1442921,1443662,1835370,1767039,1919197,1806612,1750769,1741256,2032073,1859445,1931373,1870909,1851484,1796989,1849758,1707816,1974414,1929397,1517646,1793336,1997210,1658477,1920657,2050763,1723442,1866549,1604909,1451897,1581847,1556154,1474374,1068993,1133410,949610,904909,684221,726650,812882.4,864264,752305,537375.54,706187.2,779528.2,904879.7,706665,942070,825736,669128.49,775518.62,,
Dominican Republic,DOM,Total fisheries production (metric tons),ER.FSH.PROD.MT,1300,1600,1700,3200,4200,4100,3500,3200,4600,4800,5200,4600,5600,9200,6810,5906,7053,4594,5086,7885,10658,12003,13169,12852,13925,17202.9,17289.1,20452,12940,21884,19775,17454,13661,14204,26814,20080,13683,15212,10981,9166,13140,15864,20815,20041,16223,12173,13936,14789,16462,15463,15770,16152.9,14694.8,14763,15962.5,14183,16685,18143.56,16519.45,18731.01,12560.49,,
Algeria,DZA,Total fisheries production (metric tons),ER.FSH.PROD.MT,25500,30400,21500,16900,17300,18300,20350,21150,18250,23150,24234,23715,28313,31243,35758,37693,35122,43475,34143,38678,48000,56000,64500,65002,65595.9,66141.6,65511.8,94367.8,106741.3,99555.42,90603.24,79852,95420.91,102199.97,135798.86,106247.67,82317.8,91907.4,92620,102649,113510.9,134082,134800.8,141376,114050.2,126628.3,146051.8,147768.13,141642.34,129940.23,95222.75,104060.63,108187.41,103165.88,100163.06,97131.18,101964.45,108342.62,120166.41,105388.57,86901.06,,
East Asia & Pacific (excluding high income),EAP,Total fisheries production (metric tons),ER.FSH.PROD.MT,6032818,6338372,6648838,6982379,7408550,7874162,8399793,8699230,9293380,9698335,9741068,10657183,11538419,11782989,12136666,12505925,12923429,14485133,15035418,14595340,14932693,15574300,16551732,17636721.99,18628365.14,19987795.1,21937463.59,24336486.69,25686554.65,27455927.58,28132365.33,30615224.94,34879578.58,39626850.53,44601107.1,49737427.16,53749252.35,54398352.92,57423342.75,60484441.49,62743550.32,64484460.24,67483827.96,70681075.58,74898948.03,78166172.83,81542495.94,84678175.75,87261202.19,90739140.22,94506492.52,98091442.28,103587293.75,110565455.06,115312105.3,119253667.26,122095668.56,124611767.56,126181194.25,127876466.11,128386432.89,,
Early-demographic dividend,EAR,Total fisheries production (metric tons),ER.FSH.PROD.MT,8533246.01,10452188,12327365,12651644,15585745,14295520,16032194.01,17919748,19052285,17705958,20972510,19307999,13625754,12122872,14350864,13605933,14552897,13376494.99,15112073.01,15820666.01,15295921,15757605.58,16766371.64,15052774.33,17598272.45,19377199.7,21331812.22,21468459.61,24228350.44,24658706.31,24697227.65,25503501.76,27283103.99,29899851.97,33545600.84,31783031.61,33013416.06,32144676.88,28467380.37,33842986,36813508.62,35699392.74,37209081.64,35699824.83,40758198.9,42334064.24,41930882.74,43247651.21,45580946.3,46245377.05,46490848.52,52103215.52,52161545.81,57221772.19,57924771.81,61282219.65,61641601.39,64163517.33,68859932.94,67322025.81,67996055.38,,
East Asia & Pacific,EAS,Total fisheries production (metric tons),ER.FSH.PROD.MT,13089928,14041159,14584501,14845699,15017645,16103205,16979994,18180333,19714074,20104001,20924984,22680951,24264306,25368178,26107025,26347253,27220366,28963271.5,29570026,29052800,29959983,31255421.43,32192180.92,33983231.35,36016646.73,36905153.31,40164205.96,42217068.73,43892985.51,45015353.53,44963579.06,45946644.4,49934339.67,54208935.96,58547213.52,63072430.28,66774090.84,67630736.81,69571425.58,72544629.72,74192409.34,75760454.56,78421030.36,81914186.21,85624297.06,89094015.31,92632957.64,96265570.97,98646272.22,101504483.03,105174044.61,108401498.66,113900406.78,120781802.99,125820640,129494905.42,131732491.46,134684719.83,136361341.62,137983630.99,138245708.41,,
Europe & Central Asia (excluding high income),ECA,Total fisheries production (metric tons),ER.FSH.PROD.MT,99160,92580,72600,140920,137850,159763,148431,238044,201062,261053,276442,269584,294504,256984,256477,289115,329164,311932,353249,446009,562412,587769,630335,690208,692741.09,692404.12,704305.13,752784.4,10685593.8,10368130.7,9552024.7,8458632,6904525.2,5687119,4935962,5640413.3,5891255.7,5789714.8,5703526.5,5479021.9,5268488,4796571.2,4414586.56,4415652.7,4083564.91,4310726,4452753.15,4791635.2,4631835.72,5018440.76,5294878.66,5482869.51,5490517.19,5561670.91,5353501.69,5679598.9,5910993.64,6196651.84,6517175.84,6728381.99,6801381.16,,
Europe & Central Asia,ECS,Total fisheries production (metric tons),ER.FSH.PROD.MT,8344352,8773586,8947828,9323306.1,10173389.1,11289882.4,12061078.8,12667215,12379179,11921579,12690801,12790183,12987801,13278460,13444199,13279056,14217103,14204443,13515395.1,13436225.7,13600918.9,13772547.65,13390360.1,13842456.62,14232424.66,14041928.45,13822045.13,13960462.56,25575329.56,24709856.6,22618491.87,21604307.85,20637162.48,19255825.27,18731453.61,20236632.35,20503030.3,20959893.69,20311149.48,19672521.59,19768968.39,19459374.42,18858128.6,18132041.04,17578373.23,17397012.59,17140381.05,17363687.73,16864900.06,17258287.6,17809849.82,17476906.06,17297566.91,17721807.14,18079597.77,18586840.37,18142593.25,19520733.28,19823558,19107230.81,18969481.64,,
Ecuador,ECU,Total fisheries production (metric tons),ER.FSH.PROD.MT,44300,38600,42500,49700,46300,53500,48200,57500,68900,64900,91020,102580,107040,152078,176500,215789,282793,425506,614512,605275,639542,539294,607927,372429,883405,1087676,1004271,680134,876024,682793,366643,437670,343511,378157,419571,614801,811854,671384,468138,629607,657800,645357,396805,494804,465447,602949,638648,579946,678793,718142,672594.8,818495,824536,841413,1024940,1059321.4,1160561.9,1107677,1178900,1303579.23,1409760.23,,
Egypt, Arab Rep.,EGY,Total fisheries production (metric tons),ER.FSH.PROD.MT,88500,92000,118000,115000,135000,102400,99000,80300,80500,80000,76758,84268,79209,87514,98344,106574,102764,104541,99915,137481,140397,141715.58,155732.64,157306.39,163839.54,215955.77,229153.98,231112.89,284328.79,293605.8,312952,346048,346296.8,354040.7,368204.6,407116.5,431572.4,457037.2,545594,648942,724408,771498,801459,876305,865030,889302,970925,1008008,1067631,1092889,1304795,1362175,1371911.7,1454402.09,1481883.08,1518944,1706274.33,1777824.17,1967517,2038991.34,2010579,,
Euro area,EMU,Total fisheries production (metric tons),ER.FSH.PROD.MT,3742155,3882845,3914956,4108424.1,4355369.1,4543760.4,4574645.8,4799809,4989244,4798734,4883019,4742266,4770465,4956130,4970371,4851456,4693473,4446402,4474030.1,4233467.7,4395025.9,4624964.65,4758833.1,4740238.62,4838719.57,4918064.33,4961071,4962942.16,6361358.76,6232301.9,5820051.17,5745328.85,5042699.2,5082511,5060388.6,5325804,5205690.6,5157192.4,5317718.9,5231363.5,5072351.15,5194883.1,4832564.5,4881318.3,4781350.2,4781329.5,4836437.77,4698915.9,4475515.01,4427888.31,4506488.17,4326180.04,4032279.84,4124414.06,4417806.42,4207342.03,4316912.75,4476591.64,4469358.6,4105985.43,3709461.23,,
Eritrea,ERI,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,2706,3559,3252,1038,1852.9,6997.05,12718,8894,7869,6711,7410,4027,8813,2232,1965,3330,3586,2939,3924.35,3616.68,3695.73,6230.8,3306.13,3929.59,5798.24,5640.4,5565,,
Spain,ESP,Total fisheries production (metric tons),ER.FSH.PROD.MT,913598,979112,1050204,1057781.1,1133528.1,1255640.4,1269816.8,1360681,1524861,1482215,1582679,1521399,1570110,1598305,1603965,1604892,1605769,1531718,1549512.4,1360578,1375875.5,1396799.5,1465475,1408335.5,1441953.5,1489562.8,1502394.6,1539932.6,1598886,1530990.7,1334995.2,1303615.3,1263181.4,1228232.6,1290795.3,1421692.1,1423199,1461471.2,1572787.3,1511520.6,1374636,1402403.3,1140989.5,1160962.4,1113980.8,1080319.1,1259945.3,1108298.5,1178746.14,1204010.67,1232199.25,1288687.03,1201022.83,1219670.16,1352832.5,1274634.92,1207689.35,1271906.54,1296382.1,1195775.34,1080966.29,,
Estonia,EST,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397782,375454,346083,329213,129689,147515,124508,132891,108992,126317,121854,113312,113572,105959,102622,80580,88877,100136,87587,100216,103393,99157.6,96304.04,81968.34,67194.4,70187.21,69753.47,73993.7,76523.73,83690.46,87994.66,87816.97,75232.59,,
Ethiopia,ETH,Total fisheries production (metric tons),ER.FSH.PROD.MT,8300,8600,9100,9600,12000,15900,16200,16200,14600,14400,17200,19100,14800,4700,5900,3930,2970,2472,2515,2800,3507,3828,3750,3900,4300,4000,4100,4000,4067,4269,14301,6371,4612,4797,5320,8385,8808,10394,14014,16864,15740,15447,12535,10128,10476,9822,10642,13819,17287,17075,18087,24143,29390,38416.3,50204.5,45615.5,50102,56131,57331,59432,60536,,
European Union,EUU,Total fisheries production (metric tons),ER.FSH.PROD.MT,4821623,5051409,5249717,5601392.1,5950792.1,6147927.4,6183863.8,6684252,7328495,6924784,7062027,7104055,7216539,7448767,7985400,7970404,7913653,7441837,7278736.1,7087906.7,7650369.9,7720498.65,7967834.1,8041990.62,8095571.57,8031697.33,8113416,7995342.16,9690314.76,9373376.9,8317909.17,8473929.85,8079004.28,7631316.27,7956400.61,8384519.05,7783167.6,7859868.89,7719283.98,7412782.69,7352524.39,7433650.22,6970068.04,6567458.34,6528796.32,6302765.59,6329075.9,5947610.53,5764806.09,5863467.28,5957679.93,5660850.77,5117444.82,5453542.92,5801176.35,5759444.59,5687205.92,6115651.09,5983060.73,5409642.33,5113576.83,,
Fragile and conflict affected situations,FCS,Total fisheries production (metric tons),ER.FSH.PROD.MT,882420,884457,927403,938254,994928,1044519,1083778,1098689,1197551,1252486,1311987,1416890,1440251,1583775,1540920,1523073,1611742,1604576,1695822,1766146,1809626,1754712,1721331,1738870.24,1859257.92,1894020.71,2023864.32,2158997.78,3299185.97,3334032.69,3323528.36,3108010.77,2970922.72,2858317.72,2854699.61,3284764.07,3085110.5,3320961.92,3573107.04,3544324.52,3804566.72,4023608.74,4302060.22,4571472.38,5177072.95,5343379.93,5455172.96,5489388.23,5629920.51,5859008.22,6053749.17,6100114.12,6372904.83,6594413.83,6756769.94,6703686.42,7011786.73,7401451.86,7409076.11,7327308.41,7136483.57,,
Finland,FIN,Total fisheries production (metric tons),ER.FSH.PROD.MT,65500,67000,64900,80500,62900,73250,70990,74090,92800,87300,81699,91401,89003,100000,112450,111797,120059,117831,139166,133972,165500,155394,164152,175393,178994,179288,167550,166364,175991,165172,151570,138643,169704,173862,180951,184830,196738,196526,187717,176047,171858,165806,157564,134665,148534,146400,162494,177920,162465,168728,168219,165275,175157,181528,196612,197914,207565.17,205645.9,189787.09,179793.97,156756.9,,
Fiji,FJI,Total fisheries production (metric tons),ER.FSH.PROD.MT,3000,3000,3000,3200,3400,3500,3500,3500,3800,3800,3900,3900,4700,4700,4800,5036,5589,7935,9250,20243,20404,23608,24931,24227,25639,26870,35100.4,38670.5,34209,35520.3,39528.77,33011.38,27687.1,30646.03,30300,30507,26877,30086,33075.61,56066.02,49357,50033,41526,37631.8,50194.16,47951.5,50351,48077,47483,47057.03,42710.5,47553,47467,43010,44391,41954,45511,48095,44419.41,45280.87,43045.42,,
France,FRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,762676,791620,761211,799299,807550,856899,902398,925307,938596,855694,858902,846574,854245,892060,884204,879330,861687,837277,860788.3,838058.3,859149.9,873521.88,860816.64,887199.47,870412.54,922192.4,960373.58,926793.48,968697.08,944770.4,955899.8,902400.5,919028.5,959274.5,984933.6,969264.3,928775.9,930046.5,878316.5,922088.8,961525.6,923733.7,953955,948760.7,907213.2,843546.8,832604.9,791184.7,738452.4,674361.3,655662.5,695820.22,678460.69,740924.02,738821.73,672079.84,743106.17,729359.11,794931.56,726995.52,657222.1,,
Faroe Islands,FRO,Total fisheries production (metric tons),ER.FSH.PROD.MT,111077,122139,146027,140038,140398,146479,167804,175325,167989,177691,208220,208395,208673,247337,247352,286778,342588,311490,318251,268570,278059,246761,253530,332054,349273,376538,354116,392542,368262,312236,287072,247381,269146,265046,254507,296786,323871,353195,386186,401514,490065,566548,583517,684429,646806,589328,641696,651533,564948,410412,442592,416155,437751,564589,629341,666687,652072,790457,739916,748897.8,735920.7,,
Micronesia, Fed. Sts.,FSM,Total fisheries production (metric tons),ER.FSH.PROD.MT,400,500,500,600,600,700,800,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1503,1505,1505,1720,1720,1777,1777,1777,3649,3865,3767,2974,2267,2367,12552,16740,18168,22310,8082,8808,9781,15807,12589,23460,19471,22926,33753,31972,32361,15442,20873,25445,28606,31526,38142.06,48420.62,40972.1,52496,71567,88690,101418,137920.65,181769.51,193747.86,,
Gabon,GAB,Total fisheries production (metric tons),ER.FSH.PROD.MT,6000,6500,7000,7000,7000,8000,8000,8000,9000,9000,10000,10000,10000,12000,12000,14900,14820,14010,17800,21000,19800,20146,20605,19449,21002,20955,20226,22188,22093,20502,20002,22003,24005,31797,31043,40476,46175,44250,53912,51813,48384,42973,41653,45559,46152,43941,41647,37938,31450,29715,32822,36652,36548,36646,36900,33045,31050,29050,29055,29055,29060,,
United Kingdom,GBR,Total fisheries production (metric tons),ER.FSH.PROD.MT,1020366,959551,1008322,1008956,1034341,1118064,1141130,1104608,1118870,1165385,1176051,1206546,1173031,1215495,1175211,1068779,1128199,1082168,1117396,994514,897555,882867,916552,850681,845324,901465,860520,953497,948425,914969,821743,858126,875548,934558,970258,1012302,986740,1029552,1060688,995545,907012,940084,908091,825799,862165,843149,796586,793947,771723,787450.82,813992.85,800165.56,836921.22,858162.22,990325.87,928741.46,907767.54,953571.39,890735.28,853638.76,847064.25,,
Georgia,GEO,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202628,148318,105181,60813,39145,18820,7641,3717,2554,2644,3097,1496,1877,1716,1863,3362,12060,10081,14896,44248,48865,50731,46899,27547,13225,16825,20515,24175,46513.69,139465.38,205905,254200.15,233176.9,,
Ghana,GHA,Total fisheries production (metric tons),ER.FSH.PROD.MT,33800,36500,45700,59800,76600,76500,85700,99000,74100,131000,171611,232784,281331,221832,219327,261590,246820,272171,274887,237252,231855,240816,244492,251856,270013,276573,320177,382200,362477,362005,396232,362948,423855,373084,335937,353394,477294,447527,447341,499670,459346,456353,381182,394485,421624.4,382791.89,380912.99,331114.01,341288.14,311738,361658.65,368852.3,383796.57,322464.74,362130.15,388935.91,376556.57,425593.76,449825.27,370365.72,420371.01,,
Gibraltar,GIB,Total fisheries production (metric tons),ER.FSH.PROD.MT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Guinea,GIN,Total fisheries production (metric tons),ER.FSH.PROD.MT,4000,4000,4000,4000,5000,5000,5000,6000,6000,6000,6000,8300,8300,9500,12100,13370,9920,9120,10000,18453,20000,22000,24000,26000,28003,30003,33002,35002,38001,41001,44001,49501,55005,60605,63805,67964,63364,62441,69764,87314,91513,105404,93756,121927,97732,109238,104828,82183,94683,127923,113689,185149.2,198574.5,230371.8,207699,185061,159879.8,321741.9,293693.6,360643.2,310705,,
Gambia, The,GMB,Total fisheries production (metric tons),ER.FSH.PROD.MT,4500,4800,5300,5300,5300,6200,6200,6200,6700,6700,7447,7739,7884,12294,12695,12695,12695,18092,14972,11143,13265,14739,9212,11653,11882,10712,13262,14642,13852,19842,21662,24985,18045,21308,22781,23699,31605,32747,29037,32643,29021,34532,37410,37371,32822,34960,37552,43599,42906,45909,46649,41533,36095,43759,51535,56003,58296,60496,49559,56231.66,51022.79,,
Guinea-Bissau,GNB,Total fisheries production (metric tons),ER.FSH.PROD.MT,700,700,600,600,800,900,700,700,1300,1400,1500,1400,1700,1700,1700,1669,3575,4275,4283,2936,4166,3643,3977,2671,2751,3743,3700,4100,4690,5400,5400,5000,5200,5350,6000,6328,7000,7200,6700,6200,6315,6848,7324,6153,6650,6983,7067,6500,6804,6721,6584,6549,8750,11750,15750,21150,28460,38375,52278.67,60155,62392.45,,
Equatorial Guinea,GNQ,Total fisheries production (metric tons),ER.FSH.PROD.MT,900,500,800,1000,1000,600,1200,1100,3700,3500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2500,2500,2019,2341,4000,3600,4400,4000,4000,4000,3700,3500,3600,3507,5069,2306,5040,6090,6005,7001,3634,3600,3550,3550,3500,3750,4002,4535,5402,7672,7391,7132,7849,6941.15,6082.92,6438.26,6467.29,6395,6424.84,6435.72,6057.46,,
Greece,GRC,Total fisheries production (metric tons),ER.FSH.PROD.MT,87430,85390,80490,80550,84130,90320,91630,94000,100760,95150,86139,95139,93129,104576,93678,96456,107574,108571,102697,105154,107614,103525.18,106747.8,102107.4,108540.8,114961.9,124848,134743.4,123686.3,136534.5,141904,151259.9,172917.8,191678.5,214306.9,184360.5,190903.2,205816.1,170072.4,204865.75,194761.7,191708.4,184006.9,195215.4,191034.4,198638.5,211623.7,209392.8,200953.3,205192.8,191423.8,174055.59,172017.67,178169.62,164836.29,172588.4,200277.4,203707.7,209601.47,211993.8,203213.36,,
Grenada,GRD,Total fisheries production (metric tons),ER.FSH.PROD.MT,300,500,900,700,1100,1300,1200,1300,1300,1400,1300,1500,1700,1700,1634,1700,1700,2958,2238,1491,1419,788,982,1479,1555,1727,2296,2214,2092,1782,1911,2071,2115,2212,1599,1499,1577,1530,1837,1829,1705,2250,2171,2544,2039,2048,2163,2207,2386,2648,2182,2411.47,2379.63,2856.67,2665,2394.58,2712.64,2400.84,2523.84,1995.23,1835.08,,
Greenland,GRL,Total fisheries production (metric tons),ER.FSH.PROD.MT,53018,55904,53852,45569,52475,54145,56155,53643,47019,86708,121820,114156,122694,137746,139162,133466,132476,160386,179340,202748,201024,208464,205270,194418,188308,162285,125043,162673,176199,215017,199097,178822,182612,261098,261765,283460,297236,277704,297590,352352,351788,336528,356596,336462,375128,431163,445845,398254,401789,360423,369182,358625,345737,413518,428395,395248,384779,406750,406552,369523,327966,,
Guatemala,GTM,Total fisheries production (metric tons),ER.FSH.PROD.MT,1000,1300,2100,2500,2700,2100,3000,2500,1900,3000,3400,3300,3100,3700,3881,4530,3653,3074,5504,4898,3507,4273,4293,2388,3024,3166,2647,3077,3725,4327,7798,7344,7813,10868,11604,11928,11074,11303,13971,25868,43166,34804,31405,30042,14920,27987,33862,34365,42018,36772,45124.23,41312.51,33034.25,37448.39,39470.6,37401.36,39430.77,41735.61,42392.54,46713.96,44927.37,,
Guam,GUM,Total fisheries production (metric tons),ER.FSH.PROD.MT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91,131,95,184,200,164,257,326,444,327,395,518,567,500,593,550,688,690,575,599,613,482,480,491,575,554,856,905,668,616,692,440,580,488,491,602.5,296.77,231.49,212.48,218.68,197.41,181.62,179.8,262.42,207.85,205.2,162.35,,
Guyana,GUY,Total fisheries production (metric tons),ER.FSH.PROD.MT,5700,7400,7900,9200,10400,12000,12300,13900,16000,16600,17400,15500,17600,19000,23617,20123,20956,31907,35978,35288,31530,32798,32794,44491,117616,195796,94480,82485,83536,42339,49555,49894,44796,45821,47262,49686,51483,55178,53140,65009,60051,60829,57833,64109,61275,57057,58948,65769,66960,72846.96,66357.6,72237.1,73812.18,79466.65,73085.49,58338.64,44068.7,60656.27,53014.76,40815.02,41461.53,,
High income,HIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,19756771,21190658,22040704,22276755.1,23132933.1,24577530.4,26330650.8,27235512,28483980,27598520,29676787,30950095,30852825,31988716,33014070,32576338,34789261,35038176.5,35478231.1,36086525.7,37024342.9,38522716.95,38578447.1,40166336.24,42607344.47,42570509.88,44492479.27,44495901.23,47041592.24,46896681.79,43779390.52,42642042.01,43392392.29,42478977.38,43868321.61,43391224.65,42464107.24,42648582.37,38222420.5,39557534.02,38443728.01,38648312.04,38761250.14,37821828.97,38782785.25,37861549.62,37446857.1,37090794.95,35729939.27,34770272.78,34223931.67,34530899.63,33956235.33,33685012.25,34877559.12,34250202.63,32751294.02,35152127.69,35439151.77,34431939.82,33291888.37,,
Hong Kong SAR, China,HKG,Total fisheries production (metric tons),ER.FSH.PROD.MT,50450,54865,59480,61000,63820,66860,64550,68129,112182,117460,136337,128074,135397,128506,142471,151186,157256,158739,162943,189932,194684,182511,181167,189282,200392,198196,213557,228102,238168,242514,234495,230912,229516,226844,219976,203570,192274,194310,186439,133832,162000,179599,174092,162301,172159,166094,158661,158661,162880,163784,172348,174158,159323,173893,164686,149087,147033,131726,128432,126716.1,123262.7,,
Honduras,HND,Total fisheries production (metric tons),ER.FSH.PROD.MT,1700,2550,2550,2550,3400,4050,2600,4000,5700,5450,5000,5700,5750,4450,3863,5014,4643,5947,6804,8858,6636,6422,8130,11599,10052,11650,23173,28023,29424,26781,24541,36552,33670,37161,26327,34982,37555,33252,23548,31358,27968,35678,32746,40890,44802,70464,78013,71379,63184,42356,39587,61676,64984,64949,70389,65859,64600,75300,76300,80012,86969.92,,
Heavily indebted poor countries (HIPC),HPC,Total fisheries production (metric tons),ER.FSH.PROD.MT,766117,795867,851267,907667,998417,1062267,1125175,1215151,1291211,1398989,1519707,1609620,1685390,1719799,1746932,1829851,1811442,1945318,1895209,1802952,1822612,1837215,1842746,1954001.1,2146278,2232250,2308070,2526452.9,2534383.21,2515741.93,2660195.2,2512798.75,2742371.31,2669655.36,2518554.08,2738093,2903518.8,2993069.17,2903353.79,3080401.56,3151039,3216677.24,3137855.5,3481143.25,3700632.58,3770133.54,3585010.69,3810467.21,3797033.89,3967610.36,4128781.94,4442066.2,4592759.07,4696846.79,4774724.11,4801941.74,5237146.75,5878794.36,5970083.94,6238543.14,5880230.73,,
Croatia,HRV,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33534.08,31233.27,22422.01,20275.05,21126,20551.49,27935.08,25222.19,27944.24,29019.12,30334.54,29463.04,43006.12,48537.09,56723.13,56363.63,64797.08,72119.05,68545.81,86000.06,75611.28,89552.55,94137.88,90822.84,90574.79,87060.8,90238.31,85025.38,93343.36,,
Haiti,HTI,Total fisheries production (metric tons),ER.FSH.PROD.MT,3000,3000,3000,3100,3300,3400,3400,3500,3500,3500,4000,4000,4000,4000,4000,4000,4000,4150,4300,4500,5000,5500,6000,6502.1,6901,6400,6000,5767.9,5517.9,5517.9,5167,5216,5016,5615,5215,5514,6014,6313,6610,7010,7422,7822,8122,8322,9692,11042,12292,13672,14972,16235,14070,17130,17230,17310,17520,17730,17800,17910,17780,17910,17910,,
Hungary,HUN,Total fisheries production (metric tons),ER.FSH.PROD.MT,14900,19300,21000,22000,22700,24800,26600,28200,29900,27800,26000,25800,28900,29100,30159,30788,31855,34661,32589,32838,33733,39319,42152,44037,39177,36927,36062,36759,38294,35517,33834,22879,22908,17378,18206,16674,15686,16740,17487,19461,19987,19694,18324,18406,19986,21270,22229,22888,23081,21191,20461,22632,21850,21390,22789,23263,21295.97,23864.5,23086.3,22099.31,23779.75,,
IBRD only,IBD,Total fisheries production (metric tons),ER.FSH.PROD.MT,12935074.01,15037315,17417269,18089916,21893984,20335439,23180668.01,24942276,26864484,25608541,28920241,28140979,22728001,21262328,24042878,23428753,24936635,24930476.99,27250353.91,28202209.81,28157363.1,29482742.08,31490975.64,31144510.39,34868622.97,37966390.22,42133999.72,43036496.84,57233170.85,60039092.51,58566441.87,61230106.23,65769427.49,71051040.34,81067661.91,84871091.41,89286926.13,87786142,84049993.37,93061622.3,97146739.77,96002341.21,99494605.95,99336625.71,108038919.93,110924117.65,112615370.8,115491295.11,119245483.62,122189759.83,123668546.41,131611507.49,134899873.85,142522422.77,146315473.46,151206930.05,153776922.86,158673539.44,164843058.29,165689628.42,167242856.38,,
IDA & IBRD total,IBT,Total fisheries production (metric tons),ER.FSH.PROD.MT,14734148.01,16920348,19427213,20168946,24154959,22752213,25729408.01,27625161,29693958,28589039,32138562,31633603,26441410,25140940,27897275,27171649,28757661,28951334.99,31261313.91,32160766.81,32124333.1,33547698.08,35613097.64,35493273.63,39504211.11,42811485.33,47211587.44,48324188.12,62677842.13,65577583.53,64435142.24,67054967.23,71870886.62,77235343.45,87145843.6,91397580.22,95862058.18,94945135.75,91480178.49,101190232.24,105633795.4,104929620.01,108753956.74,109232985.54,118886314.61,122360288.09,124431879.69,127532213.34,131476406.71,135144038.61,137023417.29,145520256.77,149366292.96,157512894.26,161833284.17,166911406.24,170298884.25,176359361.64,182812197.99,183758770.99,185329044.32,,
IDA total,IDA,Total fisheries production (metric tons),ER.FSH.PROD.MT,1799074,1883033,2009944,2079030,2260975,2416774,2548740,2682885,2829474,2980498,3218321,3492624,3713409,3878612,3854397,3742896,3821026,4020858,4010960,3958557,3966970,4064956,4122122,4348763.24,4635588.14,4845095.11,5077587.72,5287691.28,5444671.28,5538491.02,5868700.37,5824861,6101459.13,6184303.11,6078181.69,6526488.81,6575132.05,7158993.75,7430185.12,8128609.94,8487055.63,8927278.8,9259350.79,9896359.83,10847394.68,11436170.44,11816508.89,12040918.23,12230923.09,12954278.78,13354870.88,13908749.28,14466419.11,14990471.49,15517810.71,15704476.19,16521961.39,17685822.2,17969139.7,18069142.57,18086187.94,,
IDA blend,IDB,Total fisheries production (metric tons),ER.FSH.PROD.MT,237907,237516,257817,276323,316668,346837,407712,420745,428914,446059,497190,591277,636622,738385,699564,654739,709520,759909,810072,841678,809248,842937,871697,911710,936257,973383,1034748.4,1062460.5,1126083,1171953.3,1295448.81,1285176.48,1300923.1,1353269.72,1326154.31,1412539.4,1382414.8,1525491.09,1659241.74,1763781.78,1788376.29,1769890.2,1821353.74,1764591.36,1920906.6,1964315.96,2148171.94,2041596.54,2196358.55,2210551.11,2325735.35,2430350.89,2520224.14,2686334.27,2855964.42,2778533.57,2869894.41,3073679.96,3028886.86,2911898.76,2905677.91,,
